date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:04:32	81263/81263	---MCZ	200	added ('OK')	text/html	etag:W/%225e18a5f9-13d6f%22	http://kyle.malyarchuk.space/index-particles.html	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/index-particles.html	(from )
22:04:33	3791/3791	---MC-	424	error ('Failed%20Dependency')	text/html	date:Wed,%2026%20Feb%202020%2016:34:31%20GMT	http://kyle.malyarchuk.space/robots.txt		(from )
22:04:36	191307/191307	---MCZ	200	added ('OK')	text/css	etag:W/%225d221201-2eb4b%22	http://kyle.malyarchuk.space/css/plugins/bootstrap.min.css	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/css/plugins/bootstrap.min.css	(from http://kyle.malyarchuk.space/index-particles.html)
22:04:37	3706/3706	---MCZ	200	added ('OK')	text/css	etag:W/%225d24c823-e7a%22	http://kyle.malyarchuk.space/css/plugins/simplebar.css	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/css/plugins/simplebar.css	(from http://kyle.malyarchuk.space/index-particles.html)
22:04:37	12608/12608	---MCZ	200	added ('OK')	text/css	etag:W/%225dda8d1a-3140%22	http://kyle.malyarchuk.space/css/plugins/feather.css	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/css/plugins/feather.css	(from http://kyle.malyarchuk.space/index-particles.html)
22:04:39	70522/70522	---MCZ	200	added ('OK')	text/css	etag:W/%225dc5466f-1137a%22	http://kyle.malyarchuk.space/css/plugins/font-awesome.css	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/css/plugins/font-awesome.css	(from http://kyle.malyarchuk.space/index-particles.html)
22:04:39	19778/19778	---MCZ	200	added ('OK')	text/css	etag:W/%225db2bc4f-4d42%22	http://kyle.malyarchuk.space/css/plugins/swiper.min.css	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/css/plugins/swiper.min.css	(from http://kyle.malyarchuk.space/index-particles.html)
22:04:41	8197/8197	---MCZ	200	added ('OK')	text/css	etag:W/%225de7c0f7-2005%22	http://kyle.malyarchuk.space/css/plugins/magnific-popup.css	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/css/plugins/magnific-popup.css	(from http://kyle.malyarchuk.space/index-particles.html)
22:04:45	74609/74609	---MCZ	200	added ('OK')	text/css	etag:W/%225e1510f1-12371%22	http://kyle.malyarchuk.space/css/style.css	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/css/style.css	(from http://kyle.malyarchuk.space/index-particles.html)
22:04:45	70/70	---M--	200	added ('OK')	text/css	etag:%225e14cdfa-46%22	http://kyle.malyarchuk.space/css/settings/title.css	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/css/settings/title.css	(from http://kyle.malyarchuk.space/index-particles.html)
22:04:46	2832/2832	---MCZ	200	added ('OK')	text/css	etag:W/%225e17a14f-b10%22	http://kyle.malyarchuk.space/css/settings/green-color.css	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/css/settings/green-color.css	(from http://kyle.malyarchuk.space/index-particles.html)
22:04:47	3168/3168	---MCZ	200	added ('OK')	text/css	etag:W/%225e14cbcc-c60%22	http://kyle.malyarchuk.space/setting/style-demo.css	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/setting/style-demo.css	(from http://kyle.malyarchuk.space/index-particles.html)
22:04:48	69/69	---M--	200	added ('OK')	text/css	etag:%225e14ce12-45%22	http://kyle.malyarchuk.space/css/settings/no-title.css	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/css/settings/no-title.css	(from http://kyle.malyarchuk.space/index-particles.html)
22:04:49	2832/2832	---MCZ	200	added ('OK')	text/css	etag:W/%225e179ffa-b10%22	http://kyle.malyarchuk.space/css/settings/blue-color.css	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/css/settings/blue-color.css	(from http://kyle.malyarchuk.space/index-particles.html)
22:04:49	2832/2832	---MCZ	200	added ('OK')	text/css	etag:W/%225e17a09d-b10%22	http://kyle.malyarchuk.space/css/settings/red-color.css	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/css/settings/red-color.css	(from http://kyle.malyarchuk.space/index-particles.html)
22:04:50	2832/2832	---MCZ	200	added ('OK')	text/css	etag:W/%225e17a06e-b10%22	http://kyle.malyarchuk.space/css/settings/purple-color.css	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/css/settings/purple-color.css	(from http://kyle.malyarchuk.space/index-particles.html)
22:04:51	2832/2832	---MCZ	200	added ('OK')	text/css	etag:W/%225e17a0e2-b10%22	http://kyle.malyarchuk.space/css/settings/sea-color.css	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/css/settings/sea-color.css	(from http://kyle.malyarchuk.space/index-particles.html)
22:04:51	2832/2832	---MCZ	200	added ('OK')	text/css	etag:W/%225e17a10c-b10%22	http://kyle.malyarchuk.space/css/settings/yellow-color.css	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/css/settings/yellow-color.css	(from http://kyle.malyarchuk.space/index-particles.html)
22:05:02	137047/137047	---M--	200	added ('OK')	image/jpeg	etag:%225dda685f-21757%22	http://kyle.malyarchuk.space/img/user.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/user.jpg	(from http://kyle.malyarchuk.space/index-particles.html)
22:05:16	178653/178653	---M--	200	added ('OK')	image/jpeg	etag:%225dda6809-2b9dd%22	http://kyle.malyarchuk.space/img/blog/img-2.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/blog/img-2.jpg	(from http://kyle.malyarchuk.space/index-particles.html)
22:05:28	166622/166622	---M--	200	added ('OK')	image/jpeg	etag:%225dda7401-28ade%22	http://kyle.malyarchuk.space/img/portfolio/img-3.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/portfolio/img-3.jpg	(from http://kyle.malyarchuk.space/index-particles.html)
22:05:37	135817/135817	---M--	200	added ('OK')	image/jpeg	etag:%225dda73fd-21289%22	http://kyle.malyarchuk.space/img/portfolio/img-6.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/portfolio/img-6.jpg	(from http://kyle.malyarchuk.space/index-particles.html)
22:06:08	138351/138351	---M--	200	added ('OK')	image/jpeg	etag:%225dda73f9-21c6f%22	http://kyle.malyarchuk.space/img/portfolio/img-2.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/portfolio/img-2.jpg	(from http://kyle.malyarchuk.space/index-particles.html)
22:06:11	293923/293923	---M--	200	added ('OK')	image/jpeg	etag:%225dda7402-47c23%22	http://kyle.malyarchuk.space/img/portfolio/img-1.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/portfolio/img-1.jpg	(from http://kyle.malyarchuk.space/index-particles.html)
22:06:17	195435/195435	---M--	200	added ('OK')	image/jpeg	etag:%225dda73ff-2fb6b%22	http://kyle.malyarchuk.space/img/portfolio/img-4.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/portfolio/img-4.jpg	(from http://kyle.malyarchuk.space/index-particles.html)
22:06:47	118621/118621	---M--	200	added ('OK')	image/jpeg	etag:%225dda73f7-1cf5d%22	http://kyle.malyarchuk.space/img/portfolio/img-9.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/portfolio/img-9.jpg	(from http://kyle.malyarchuk.space/index-particles.html)
22:06:49	157779/157779	---M--	200	added ('OK')	image/jpeg	etag:%225dda73fb-26853%22	http://kyle.malyarchuk.space/img/portfolio/img-8.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/portfolio/img-8.jpg	(from http://kyle.malyarchuk.space/index-particles.html)
22:06:49	17891/17891	---MCZ	200	added ('OK')	text/html	etag:W/%225e18aada-45e3%22	http://kyle.malyarchuk.space/blog-page.html	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/blog-page.html	(from http://kyle.malyarchuk.space/index-particles.html)
